player_id,total_appearances,total_goals,total_assists,total_minutes,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90
34706,113,0,0,8862,36,0,0.0,0.0
34730,26,4,0,2213,9,0,0.163,0.0
34753,91,24,11,6763,15,1,0.319,0.146
34756,81,4,1,7064,37,0,0.051,0.013
34758,25,2,6,1367,6,0,0.132,0.395
34768,59,1,0,4962,19,0,0.018,0.0
34771,11,1,0,463,3,0,0.194,0.0
34773,115,21,6,8376,19,0,0.226,0.064
34782,26,0,2,1564,1,0,0.0,0.115
34783,29,2,1,1248,4,0,0.144,0.072
34784,447,72,63,31934,46,2,0.203,0.178
34785,120,11,13,9811,35,5,0.101,0.119
34787,275,8,10,19102,39,0,0.038,0.047
34809,8,1,0,505,0,0,0.178,0.0
34838,78,5,9,3807,11,0,0.118,0.213
34839,4,0,0,146,0,0,0.0,0.0
34870,323,102,55,20484,89,3,0.448,0.242
34909,22,1,0,1494,3,0,0.06,0.0
34913,47,1,0,3076,3,0,0.029,0.0
34929,85,2,3,7380,18,0,0.024,0.037
